instr address,(r)ead/(w)rite,data size,data address
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532aa00
0x155555112aed,r,8,0x15555532aa08
0x155555112ae8,r,1,0x15555532aa38
0x155555112aed,r,8,0x15555532aa40
0x155555112ae8,r,1,0x15555532aa70
0x155555112aed,r,8,0x15555532aa78
0x155555112a31,r,8,0x7fffffffcc18
0x155555112a3d,r,1,0x7fffffffdbaf
0x155555112a63,r,1,0x7fffffffdbb0
0x155555112a63,r,1,0x7fffffffdbb1
0x155555112a63,r,1,0x7fffffffdbb2
0x155555112a63,r,1,0x7fffffffdbb3
0x155555112a63,r,1,0x7fffffffdbb4
0x155555112a63,r,1,0x7fffffffdbb5
0x155555112a63,r,1,0x7fffffffdbb6
0x155555112a63,r,1,0x7fffffffdbb7
0x155555112a63,r,1,0x7fffffffdbb8
0x155555112a63,r,1,0x7fffffffdbb9
0x155555112a63,r,1,0x7fffffffdbba
0x155555112a63,r,1,0x7fffffffdbbb
0x155555112a63,r,1,0x7fffffffdbbc
0x155555112a63,r,1,0x7fffffffdbbd
0x155555112a63,r,1,0x7fffffffdbbe
0x155555112a63,r,1,0x7fffffffdbbf
0x155555112a63,r,1,0x7fffffffdbc0
0x155555112a63,r,1,0x7fffffffdbc1
0x155555112a63,r,1,0x7fffffffdbc2
0x155555112a63,r,1,0x7fffffffdbc3
0x155555112a63,r,1,0x7fffffffdbc4
0x155555112a63,r,1,0x7fffffffdbc5
0x155555112a63,r,1,0x7fffffffdbc6
0x155555112a63,r,1,0x7fffffffdbc7
0x155555112a63,r,1,0x7fffffffdbc8
0x155555112a63,r,1,0x7fffffffdbc9
0x155555112a63,r,1,0x7fffffffdbca
0x155555112a84,w,8,0x7fffffffca58
0x155555112ad3,r,4,0x15555532aab0
0x155555112ae8,r,1,0x15555532a3a8
0x155555112aed,r,8,0x15555532a3b0
0x155555112ae8,r,1,0x15555532a3e0
0x155555112aed,r,8,0x15555532a3e8
0x155555112ae8,r,1,0x15555532a418
0x155555112aed,r,8,0x15555532a420
0x155555112af6,r,1,0x155555121dc7
0x155555112af9,r,1,0x7fffffffdbaf
0x155555112ae8,r,1,0x15555532a450
0x155555112aed,r,8,0x15555532a458
0x155555112af6,r,1,0x155555121df3
0x155555112af9,r,1,0x7fffffffdbaf
0x155555112ae8,r,1,0x15555532a488
0x155555112aed,r,8,0x15555532a490
0x155555112ae8,r,1,0x15555532a4c0
0x155555112aed,r,8,0x15555532a4c8
0x155555112ae8,r,1,0x15555532a4f8
0x155555112aed,r,8,0x15555532a500
0x155555112ae8,r,1,0x15555532a530
0x155555112aed,r,8,0x15555532a538
0x155555112ae8,r,1,0x15555532a568
0x155555112aed,r,8,0x15555532a570
0x155555112ae8,r,1,0x15555532a5a0
0x155555112aed,r,8,0x15555532a5a8
0x155555112ae8,r,1,0x15555532a5d8
0x155555112aed,r,8,0x15555532a5e0
0x155555112af6,r,1,0x155555121e72
0x155555112af9,r,1,0x7fffffffdbaf
0x155555112ae8,r,1,0x15555532a610
0x155555112aed,r,8,0x15555532a618
0x155555112ae8,r,1,0x15555532a648
0x155555112aed,r,8,0x15555532a650
0x155555112ae8,r,1,0x15555532a680
0x155555112aed,r,8,0x15555532a688
0x155555112ae8,r,1,0x15555532a6b8
0x155555112aed,r,8,0x15555532a6c0
0x155555112af6,r,1,0x155555121eab
0x155555112af9,r,1,0x7fffffffdbaf
0x155555112b1c,r,1,0x155555121eac
0x155555112b20,r,1,0x7fffffffdbb0
0x155555112ae8,r,1,0x15555532a6f0
0x155555112aed,r,8,0x15555532a6f8
0x155555112af6,r,1,0x155555121ecf
0x155555112af9,r,1,0x7fffffffdbaf
0x155555112ae8,r,1,0x15555532a728
0x155555112aed,r,8,0x15555532a730
0x155555112ae8,r,1,0x15555532a760
0x155555112aed,r,8,0x15555532a768
0x155555112ae8,r,1,0x15555532a798
0x155555112aed,r,8,0x15555532a7a0
0x155555112ae8,r,1,0x15555532a7d0
0x155555112aed,r,8,0x15555532a7d8
0x155555112ae8,r,1,0x15555532a808
0x155555112aed,r,8,0x15555532a810
0x155555112ae8,r,1,0x15555532a840
0x155555112aed,r,8,0x15555532a848
